ANO,UF,Y,PEC,PGC,QE,TxF,D1,D2
2010,RO,"15320,65",3.67724648721802,4.92783992286192,40081,314202,0,0
2011,RO,"17491,6",3.89025006096905,4.85205699367795,26509,343767,0,0
2012,RO,"18938,69",3.73739843819543,4.56977066395504,19697,379158,0,0
2013,RO,"18007,85",3.5754423149912,4.45717280407282,20748,392986,0,0
2014,RO,"19462,61",3.64544570885222,4.43444900665959,18135,419642,0,0
2015,RO,20678,3.58083274828979,4.6525373635727,29195,437291,0,0
2016,RO,"22078,46",3.98688678335834,4.56324783908212,14529,441744,0,0
2017,RO,"24098,15",4.0088493684184,4.59370432289812,11332,444087,1,0
2018,RO,"25554,31",4.10469793166523,4.94048596936622,15640,438718,1,0
2019,RO,"26497,12",3.92328979435504,4.68151821539472,15469,450895,1,0
2010,AC,"11384,33",4.2859117242899,5.31377329235946,9495,101630,0,0
2011,AC,"11990,36",4.07392901735339,5.10303543844489,8585,112958,0,0
2012,AC,"13360,72",3.9061372323001,4.83671521301363,5745,122914,0,0
2013,AC,"14777,18",3.84429065061753,4.7450502569953,6025,129547,0,0
2014,AC,"17034,15",3.94688928842426,4.71471164761939,3699,140741,0,0
2015,AC,16954,3.9610642621318,4.97187586439082,7385,145428,0,0
2016,AC,"16841,51",3.93669057857744,4.80833713124049,7604,142140,0,0
2017,AC,"17204,21",4.25169558355594,5.08166269083738,6748,141317,1,0
2018,AC,"17636,88",4.31582625073458,5.47474594421116,8533,139846,1,0
2019,AC,"17722,41",4.0964691285124,5.03123808337478,7903,143534,1,0
2010,AM,"17488,72",4.2859117242899,5.31377329235946,54876,507101,0,0
2011,AM,"19990,58",4.07392901735339,5.10303543844489,40517,549717,0,0
2012,AM,"20117,8",3.9061372323001,4.83671521301363,40069,597445,0,0
2013,AM,"21810,12",3.84429065061753,4.7450502569953,47011,623657,0,0
2014,AM,"22373,36",3.94688928842426,4.71471164761939,50439,662661,0,0
2015,AM,21981,3.9610642621318,4.97187586439082,78601,672224,0,0
2016,AM,"22250,67",3.93669057857744,4.80833713124049,38371,661032,0,0
2017,AM,"22945,14",4.25169558355594,5.08166269083738,38859,671626,1,0
2018,AM,"24532,9",4.31582625073458,5.47474594421116,90531,677551,1,0
2019,AM,"26101,72",4.0964691285124,5.03123808337478,102045,719172,1,0
2010,RR,"14713,55",4.11327434872246,5.04265803527186,2756,87698,0,0
2011,RR,"15871,96",4.01739939762293,4.64970082270655,2487,90014,0,0
2012,RR,"16424,01",3.95480902236401,4.43928720558879,1929,100780,0,0
2013,RR,"18461,88",3.92970298553408,4.38675522365241,1823,110137,0,0
2014,RR,"19608,4",3.82160439905647,4.28410720148006,1954,124183,0,0
2015,RR,20256,3.94966642134105,4.60638405054098,2902,125922,0,0
2016,RR,"21416,99",4.323803213405,4.56214610718878,1448,130957,0,0
2017,RR,"23160,88",4.25554775342245,4.37397046236916,1017,138135,1,0
2018,RR,"23188,92",4.13686080110397,4.68054180503389,2000,142369,1,0
2019,RR,"23593,84",3.92557451527536,4.2638295646184,1663,154840,1,0
2010,PA,"10874,91",3.79468381590386,4.92408454629527,46967,707817,0,0
2011,PA,"12838,6",3.84265284643224,4.61867994590574,33567,792089,0,0
2012,PA,"13741,42",3.62511689582896,4.40201489229681,30715,931006,0,0
2013,PA,"15210,8",3.68392012036834,4.34824677211507,32956,1019243,0,0
2014,PA,"15430,53",3.71831267478687,4.31779848839337,33477,1122149,0,0
2015,PA,16012,3.80706153870333,4.58175807745707,52966,1169042,0,0
2016,PA,"16694,32",4.15797785020388,4.68111473654461,36913,1180424,0,0
2017,PA,"18553,76",4.18288758975881,4.67713086042526,27254,1173136,1,0
2018,PA,"18952,21",4.06359840389101,4.93583652379642,53647,1174101,1,0
2019,PA,"20734,6",3.89697756393191,4.71232903133437,58378,1217430,1,0
2010,TO,"11857,88",3.36459455792544,5.02701492050052,60460,259583,0,0
2011,TO,"13095,72",3.46191371367959,4.77104854117836,37473,275905,0,0
2012,TO,"14590,19",3.36524323185441,4.50567715880826,27882,315720,0,0
2013,TO,"16098,79",3.2789196527361,4.43718164833643,35772,337315,0,0
2014,TO,"17495,94",3.23958128308336,4.31766253295575,35286,375046,0,0
2015,TO,19094,3.40969775290743,4.55001134721073,56692,387868,0,0
2016,TO,"20604,59",3.80334913268318,4.54137039737929,30666,385025,0,0
2017,TO,"22002,49",3.94035592750985,4.51915520613609,16891,391158,1,0
2018,TO,"22933,07",4.03272368632427,5.11395145176228,34122,372859,1,0
2019,TO,"25021,8",3.82039102668456,4.73902609167814,33215,388653,1,0
2010,MA,"7048,99",3.411417724767,4.59905027832423,88458,584208,0,0
2011,MA,"7846,13",3.58202080124759,4.34109028163511,35200,653529,0,0
2012,MA,"9009,13",3.38270959386807,4.08657696081885,23838,767450,0,0
2013,MA,"9963,47",3.42412541207992,4.11810647413208,26445,821720,0,0
2014,MA,"11216,37",3.51002380715173,4.13364363434325,42643,916877,0,0
2015,MA,11366,3.54026461017792,4.29196793491947,57212,929991,0,0
2016,MA,"12267,7",3.78820366533795,4.2012678874307,35476,953180,0,0
2017,MA,"12791,4",3.82045228793816,4.17478131514107,25618,972939,1,0
2018,MA,"13955,75",3.89474024214526,4.5655057141042,37299,969468,1,0
2019,MA,"13757,94",3.78926787271933,4.51569950763132,47002,982280,1,0
2010,PI,"7139,8",3.55722386490237,4.48184228524734,19252,358867,0,0
2011,PI,"8260,72",3.73334624615838,4.35357092632424,13860,383688,0,0
2012,PI,"9060,41",3.52360850859966,3.99303798188547,15981,466097,0,0
2013,PI,"9824,74",3.50817211424737,3.9627889569774,17938,512558,0,0
2014,PI,"11808,08",3.52941560626115,3.91180695573261,21838,584497,0,0
2015,PI,12219,3.52752330191701,4.22139018470735,38397,606796,0,0
2016,PI,"12893,72",3.63718126467418,4.2980313058179,35914,621167,0,0
2017,PI,"14091,93",3.57023403354665,4.2456798960321,37184,633808,1,0
2018,PI,"15432,05",3.74103547316394,4.8610563528256,72283,608260,1,0
2019,PI,16125,3.56887056732282,4.7040817784311,91344,624824,1,0
2010,CE,"9391,07",3.39757340912527,4.68579026184286,157506,930419,0,0
2011,CE,"10515,15",3.49336672939581,4.45896576799113,113605,1022852,0,0
2012,CE,"11268,15",3.34552862608708,4.18932428093673,93418,1186160,0,0
2013,CE,"12420,76",3.4010770849952,4.14139455259203,97865,1284841,0,0
2014,CE,"14255,05",3.40595090564534,4.14128976404857,109934,1425631,0,0
2015,CE,14670,3.47068574610094,4.46572682263406,172588,1452206,0,0
2016,CE,"15442,63",3.78338590821279,4.59297881181067,143300,1472486,0,0
2017,CE,"16398,45",3.81002484573261,4.5727077294557,122850,1467634,1,0
2018,CE,"17178,26",3.94847854328824,4.94689847243913,169711,1448567,1,0
2019,CE,"17912,17",3.83356859856528,4.68999547953559,166508,1501815,1,0
2010,RN,"11421,4",3.48381486891813,4.76298135689776,79156,458959,0,0
2011,RN,"12815,67",3.63175210015084,4.45325348656672,55271,523207,0,0
2012,RN,"14377,13",3.45021407478504,4.17458341268308,46051,594139,0,0
2013,RN,"15269,44",3.5252534588073,4.20240773934272,48017,639213,0,0
2014,RN,"15849,33",3.62794766183409,4.18759002081977,42657,682206,0,0
2015,RN,16632,3.49358174293674,4.35811755677708,68899,693013,0,0
